Card						
Name	Action	Pattern	Level	Rarity	Type	Desc
Basic Attack	atk:4	A1	2	sta	atk	Deal 4 Damage
Basic Attack	atk:2	A2	1	sta	mov	Deal 2 Damage
Range Attack	atk:3;mov:2	A3	3	sta	eng	Deal 3 Damage Move 2
Range Attack	atk:1;mov:4	A4	2	com	buf	Deal 1 Damage Move 4
Range Attack	atk:2;mov:2	A4	3	com	dbf	Deal 2 Damage Move 2
Range Attack	atk:1;mov:3	A2	2	com	atk	Deal 1 Damage Move 3
Sweep Attack	atk:5;mov:1	A4	3	rar	atk	Deal 5 Damage Move 1
Sweep Attack	atk:3	A1	1	rar	atk	Deal 3 Damage
Sweep Attack	atk:2;mov:1	A3	1	leg	buf	Deal 2 Damage Move 1
Sweep Attack	atk:1;mov:2	A4	2	leg	mov	Deal 1 Damage Move 2
