Card						
Name	Effects	Pattern	Level	Rarity	Type	Desc
Basic Attack	atk:5	A2	1	sta	atk	Deal {atk} Damage
Sweep Attack	atk:3	A4	1	sta	atk	Deal {atk} Damage
Sprint	mov:3	A1	1	sta	mov	Move {mov}
Panic Roll	mov:1;fas;te	A1	1	sta	mov	Move {mov} Fast Temp
Walk	mov:1	A1	1	sta	mov	Move {mov}
Perfected Roll	mov:1;fas;del	A1	1	rar	mov	Move {mov} Fast Delete
Onslaught	atk:10;del	A2	1	rar	atk	Deal {atk} Damage Delete
Feint Attack	atk:3;re:1	A5	1	rar	atk	Deal {atk} Damage Retreat 1
Strength	oc:3	A1	1	com	buf	Overclock 3
Stomp	atk:5	A7	1	com	atk	Deal {atk} Damage
Battery	gen:2;per	A1	1	com	gen	Generate 2 Persist
Starter Battery	gen:3;lag;pre;temp	A1	1	rar	gen	Generate 3 Lag Pre-Load Temp
Shield	shi:5	A1	1	com	buf	Shield 5
Energy Shield	shi:12;con:1	A1	1	com	buf	Shield 12 Consume 1
Shielding Strike	atk:3;shi:3	A7	1	com	atk	Deal {atk} Damage Shield 3
Shield Slam	atk:shi	A2	1	com	atk	Deal Damage equal to current Shield
Molotov	atk:8	A15	1	com	atk	Deal {atk} Damage
Charge	oc:5;con:1	A1	1	com	buf	Overclock 5 Consume 1
Charge Attack	atk:7;con:1	A2	1	com	atk	Deal {atk} Damage Consume 1
Shotgun	atk:6	A11	1	com	atk	Deal {atk} Damage
Flash Bang	atk:5;wek:3	A10	1	com	atk	Deal {atk} Damage Weaken 3
Delaying Strike	atk:5;de:1	A4	1	com	dbuf	Deal {atk} Damage Delay 1
Desperate Strength	oc:5;del	A1	1	rar	buf	Overclock 5 Delete
Corrupting Strike	atk:3;cor:2	A7	1	rar	dbuf	Deal {atk} Damage Corrupt 2
Weakening Strike	atk:4;wek:1	A15	1	rar	dbuf	Deal {atk} Damage Weaken
Barrier	bar:1	A1	1	rar	buf	Gain 1 Barrier
Blade Throw	atk:2;fas;del	A17	1	com	atk	Deal {atk} Damage Fast Delete
Fans of Blade atk:1;fas;combo:Blade Throw A1 1 rar atk "Combo ""Blade Throw"" Blade Throws deal +1 this combat" Fast
Charged Strike	atk:3;oc:x2	A2	1	rar	atk	Deal {atk} Damage Overclock applies twice
Lazer Beam	atk:1x3	A16	1	rar	atk	Deal {atk} Damage 3 times
Double Attack	atk:4x2	A2	1	leg	atk	Deal {atk} Damage twice
Leap of Faith	jmp:3;atk:10	A2	1	rar	atk	Jump {jmp} Deal {atk} Damage
Offensive Stance	oc:10;cor:5;del	A1	1	leg	buf	Overclock 10 Corrupt Self 5 Delete
Smoke Bomb	wek:3;de:1;re:1	A1	1	rar	dbuf	Weaken 3 Delay 1 Retreat 1
Freeze	atk:1;de:3;del	A2	1	leg	dbuf	Deal {atk} Damage Delay 3 Delete
Defensive Stance	bar:3;lag;del	A1	1	leg	buf	Gain 3 Barrier Lag Delete
Hack	cor:3;wek:1;all;del	A14	1	leg	dbuf	Corrupt 3 Weaken All Enemy Delete
Energy	enr	A1	1	misc	en	Energy
Teleport	jmp:10	A1	1	leg	mov	Jump {jmp}
Reboot	recall_del;lag	A1	1	leg	buf	Return every Deleted card to discard pile Lag
